Location,Title,Product Code,Chosen Location Ref,Latitude,Longitude,Image URL,Affiliate URL
Rome,Pompeii and Herculaneum Small Group Tour with an Archaeologist,23258P129,LOC-6eKJ+or5y8o99Qw0C8xWyKz8Rc6O6d3A/69kodziTsA=,40.806698,14.347904,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/13/d2/a7/8f.jpg,https://www.viator.com/tours/Pompeii/Explore-Pompeii-and-Herculaneum-with-an-Archaeologist/d24336-23258P129?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Pompeii, Sorrento & Amalfi Coast Day Trip from Rome",3731POMPSORR,LOC-6eKJ+or5y8o99Qw0C8xWyOEo9qROevbljj6huyh3N3I=,40.634373,14.602158,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/4a/b1/cb.jpg,https://www.viator.com/tours/Rome/Amalfi-Coast-and-Sorrento-Day-Trip-with-Pompeii-or-Positano-Option/d511-3731POMPSORR?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome Highlights by Golf Cart Private Tour,23570P17,LOC-6eKJ+or5y8o99Qw0C8xWyAB0YgCA1j7jpn12IiU0YNM=,41.88844,12.47415,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/3b/1d/2e.jpg,https://www.viator.com/tours/Rome/Rome-Highlights-by-Golf-Cart-Private-Tour/d511-23570P17?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"3 in 1 Cooking Class near Navona: Fettuccine, Ravioli & Tiramisu",21369P20,,,,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/13/47/97/13.jpg,https://www.viator.com/tours/Rome/3-in-1-Cooking-Class-in-Piazza-Navona-Fettuccine-Ravioli-and-Tiramisu/d511-21369P20?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome: Colosseum Underground and Roman Forum Guided Tour,21985P15,LOC-6eKJ+or5y8o99Qw0C8xWyAcu/7vFeEq6qgrQqW+llLE=,41.89021,12.492231,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/e2/a4/bd.jpg,https://www.viator.com/tours/Rome/The-Official-VIP-Colosseum-Underground-and-Roman-Forum-Tour/d511-21985P15?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome: Complete Early Morning Vatican Tour | Small Group,7559P9,LOC-6eKJ+or5y8o99Qw0C8xWyNkflftrBaPsp0Ji3hK9h3A=,41.90219,12.454782,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/85/08/9c.jpg,https://www.viator.com/tours/Rome/Sistine-Chapel-before-the-Crowds-Complete-Vatican-Tour/d511-7559P9?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Vatican Museums, Sistine Chapel Tour and Basilica Access",21175P39,LOC-6eKJ+or5y8o99Qw0C8xWyMR32WDzof0PZ1R9hKmnfnA=,41.905754,12.454596,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/68/6a/b5.jpg,https://www.viator.com/tours/Rome/Vatican-Museums-Sistine-Chapel-Basilica-Entry-skip-the-line/d511-21175P39?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome: Colosseum Guided Tour with Roman Forum and Palatine hill,169766P7,LOC-6eKJ+or5y8o99Qw0C8xWyIi8k2ebOcTMSWaA+jC2+d4=,41.889416,12.487461,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/13/43/97/42.jpg,https://www.viator.com/tours/Rome/Skip-the-line-Colosseum-Ticket-with-Optional-Arena-Access-Upgrade/d511-169766P7?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Amalfi Coast and Pompei from Rome: Enjoy a Private Full-Day Tour,8515P15,LOC-6eKJ+or5y8o99Qw0C8xWyMyK+mGoy7CDe9PRzf18P3M=,41.9021,12.504093,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/r/32/6c/d8/eb/caption.jpg,https://www.viator.com/tours/Rome/Private-Day-Tour-Amalfi-Coast-Positano-and-Pompeii-from-Rome/d511-8515P15?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome by Night: Golf Cart Tour,439081P3,LOC-6eKJ+or5y8o99Qw0C8xWyD85LM3KGqyWKbpCXxNQgNI=,41.9006463,12.4788504,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/17/0f/2c/af.jpg,https://www.viator.com/tours/Rome/Tour-of-Rome-in-Golf-Cart-Rome-by-night/d511-439081P3?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome in a Day Group Tour with Vatican Museums and Colosseum ,24338P42,LOC-6eKJ+or5y8o99Qw0C8xWyAcu/7vFeEq6qgrQqW+llLE=,41.89021,12.492231,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/3f/79/56.jpg,https://www.viator.com/tours/Rome/Rome-in-a-Day-Group-Tour-with-Entry-to-Vatican-and-Colosseum/d511-24338P42?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome: Explore Top Attractions by Exclusive Golf Cart Tour,195834P19,LOC-6eKJ+or5y8o99Qw0C8xWyDz74fLSSPQYsovimngfhE4=,41.91138,12.478859,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/17/0d/28/71.jpg,https://www.viator.com/tours/Rome/Rome-Explore-Top-Attractions-with-a-Private-Golf-Cart-Tour/d511-195834P19?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Skip the Line Vatican, Sistine Chapel and Basilica Guided Tour",7356P1,LOC-6eKJ+or5y8o99Qw0C8xWyNkflftrBaPsp0Ji3hK9h3A=,41.90219,12.454782,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/f9/f6/a6.jpg,https://www.viator.com/tours/Rome/Skip-the-Line-Vatican-Museums-and-Sistine-Chapel-Tour/d511-7356P1?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome: Tuscany & Montepulciano Day Trip with Lunch & Wine Tasting ,3731TUSCANY,LOC-6eKJ+or5y8o99Qw0C8xWyCfBrmixh8S6e+3IkaYb9uY=,43.32548,11.33071,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/13/cf/f6/ed.jpg,https://www.viator.com/tours/Rome/Tuscany-in-One-Day-Sightseeing-Tour-from-Rome/d511-3731TUSCANY?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Gladiator’s Gate: Special Access Colosseum Tour with Arena Floor,15693P36,LOC-6eKJ+or5y8o99Qw0C8xWyIi8k2ebOcTMSWaA+jC2+d4=,41.889416,12.487461,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/2c/23/e5.jpg,https://www.viator.com/tours/Rome/Gladiators-Gate-Special-Access-Colosseum-Tour-with-Arena-Floor/d511-15693P36?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,The Original Roman Crypts and Catacombs Tour with Transfers,3731CRYPTS,LOC-6eKJ+or5y8o99Qw0C8xWyAW2rQA+j5ecCCvmNdgf/N4=,41.858925,12.505546,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/38/d3/4c.jpg,https://www.viator.com/tours/Rome/Skip-the-Line-Crypts-and-Roman-Catacombs-Small-Group-Guided-Tour-with-Transfers/d511-3731CRYPTS?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Rome to Pompeii Guided Tour with Wine & Lunch by High Speed Train,5831P90,LOC-6eKJ+or5y8o99Qw0C8xWyIs9fWWaZgi+uieCdUlVRDo=,40.8449435,14.2578387,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/11/c3/e7/fc.jpg,https://www.viator.com/tours/Rome/Rome-to-Pompeii-Guided-Tour-with-Wine-and-Lunch-by-High-Speed-Train/d511-5831P90?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome, Golf Cart Small-Group Guided Tour: Rome City Highlights,387632P2,LOC-6eKJ+or5y8o99Qw0C8xWyLpIkIoQd9ZaUJbp8PKmikM=,41.893326,12.482935,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/11/89/d5/c2.jpg,https://www.viator.com/tours/Rome/Golf-Cart-Small-Group-Guided-Tour-Rome-City-Highlights/d511-387632P2?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Pompeii and Mount Vesuvius Day Trip from Rome with Pizza Lunch,3731VESUVIUS,LOC-6eKJ+or5y8o99Qw0C8xWyE78ZeUwX9bKTUXL5+03btw=,40.80588,14.35286,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/10/29/e0/10.jpg,https://www.viator.com/tours/Rome/Pompeii-Day-Trip-from-Rome/d511-3731VESUVIUS?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Vatican Museums and Sistine Chapel Skip-the-Line Tickets,10338P21,LOC-6eKJ+or5y8o99Qw0C8xWyGDI0UhmVoQgjH5QRpECT14=,41.90665,12.453507,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0d/fe/61/80.jpg,https://www.viator.com/tours/Vatican-City/Rome-Vatican-Museums-and-Sistine-Chapel-Skip-the-Line-Tickets/d60477-10338P21?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Vatican Museums and the Sistine Chapel Skip-the-Line Tour,111857P2,LOC-6eKJ+or5y8o99Qw0C8xWyGDI0UhmVoQgjH5QRpECT14=,41.90665,12.453507,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/ee/b4/04.jpg,https://www.viator.com/tours/Vatican-City/Vatican-Museums-and-the-Sistine-Chapel-Fast-Track-Tour/d60477-111857P2?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,"Rome Pasta and Tiramisu Class: Ravioli, Fettuccine & Fine Wine 5*",12438P7,,,,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/02/fe/c2.jpg,https://www.viator.com/tours/Rome/Rome-Small-Group-Pasta-and-Tiramisu-Workshop/d511-12438P7?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
Rome,Amalfi Coast & Positano Day Trip from Rome with Coastal Cruise,3731P271,LOC-6eKJ+or5y8o99Qw0C8xWyOEo9qROevbljj6huyh3N3I=,40.634373,14.602158,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/10/70/59/f4.jpg,https://www.viator.com/tours/Rome/Amalfi-Coast-and-Positano-Day-Trip-from-Rome-with-Coastal-Cruise/d511-3731P271?mcid=42383&pid=P00195940&medium=api&api_version=2.0&pid=P00195940&mcid=42383&medium=link
